: Project: test
: Sample Rate: 800
: Start Time: 2023.07.07 12:10:20.130898
index; timestamp; CH_1_R_1; 
1; 12:10:20.121154; 1543.5194; 
2; 12:10:20.122404; 1543.5193; 
3; 12:10:20.123654; 1543.5188; 
4; 12:10:20.124904; 1543.5184; 
5; 12:10:20.126154; 1543.5172; 
6; 12:10:20.127404; 1543.5166; 
7; 12:10:20.128654; 1543.5168; 
8; 12:10:20.129904; 1543.5149; 
9; 12:10:20.131154; 1543.5167; 
10; 12:10:20.132404; 1543.5171; 
11; 12:10:20.133654; 1543.5177; 
12; 12:10:20.134904; 1543.5185; 
13; 12:10:20.136154; 1543.5198; 
14; 12:10:20.137404; 1543.5204; 
15; 12:10:20.138654; 1543.5202; 
16; 12:10:20.139904; 1543.5200; 
17; 12:10:20.141154; 1543.5191; 
18; 12:10:20.142404; 1543.5177; 
19; 12:10:20.143654; 1543.5165; 
20; 12:10:20.144904; 1543.5166; 
21; 12:10:20.146154; 1543.5157; 
22; 12:10:20.147404; 1543.5162; 
23; 12:10:20.148654; 1543.5163; 
24; 12:10:20.149904; 1543.5170; 
25; 12:10:20.151154; 1543.5179; 
26; 12:10:20.152404; 1543.5188; 
27; 12:10:20.153654; 1543.5194; 
28; 12:10:20.154904; 1543.5187; 
29; 12:10:20.156154; 1543.5189; 
30; 12:10:20.157404; 1543.5179; 
31; 12:10:20.158654; 1543.5174; 
32; 12:10:20.159904; 1543.5166; 
33; 12:10:20.161154; 1543.5157; 
34; 12:10:20.162404; 1543.5165; 
35; 12:10:20.163654; 1543.5162; 
36; 12:10:20.164904; 1543.5172; 
37; 12:10:20.166154; 1543.5172; 
38; 12:10:20.167404; 1543.5178; 
39; 12:10:20.168654; 1543.5191; 
40; 12:10:20.169904; 1543.5190; 
41; 12:10:20.171154; 1543.5192; 
42; 12:10:20.172404; 1543.5187; 
43; 12:10:20.173654; 1543.5177; 
44; 12:10:20.174904; 1543.5176; 
45; 12:10:20.176154; 1543.5173; 
46; 12:10:20.177404; 1543.5163; 
47; 12:10:20.178654; 1543.5166; 
48; 12:10:20.179904; 1543.5174; 
49; 12:10:20.181154; 1543.5179; 
50; 12:10:20.182404; 1543.5185; 
51; 12:10:20.183654; 1543.5184; 
52; 12:10:20.184904; 1543.5187; 
53; 12:10:20.186154; 1543.5193; 
54; 12:10:20.187404; 1543.5190; 
55; 12:10:20.188654; 1543.5183; 
56; 12:10:20.189904; 1543.5187; 
57; 12:10:20.191154; 1543.5194; 
58; 12:10:20.192404; 1543.5182; 
59; 12:10:20.193654; 1543.5180; 
60; 12:10:20.194904; 1543.5171; 
61; 12:10:20.196154; 1543.5169; 
62; 12:10:20.197404; 1543.5171; 
63; 12:10:20.198654; 1543.5170; 
64; 12:10:20.199904; 1543.5181; 
65; 12:10:20.201154; 1543.5180; 
66; 12:10:20.202404; 1543.5175; 
67; 12:10:20.203654; 1543.5177; 
68; 12:10:20.204904; 1543.5173; 
69; 12:10:20.206154; 1543.5177; 
70; 12:10:20.207404; 1543.5182; 
71; 12:10:20.208654; 1543.5184; 
72; 12:10:20.209904; 1543.5182; 
73; 12:10:20.211154; 1543.5180; 
74; 12:10:20.212404; 1543.5177; 
75; 12:10:20.213654; 1543.5173; 
76; 12:10:20.214904; 1543.5182; 
77; 12:10:20.216154; 1543.5186; 
78; 12:10:20.217404; 1543.5191; 
79; 12:10:20.218654; 1543.5193; 
80; 12:10:20.219904; 1543.5188; 
81; 12:10:20.221154; 1543.5188; 
82; 12:10:20.222404; 1543.5174; 
83; 12:10:20.223654; 1543.5174; 
84; 12:10:20.224904; 1543.5181; 
85; 12:10:20.226154; 1543.5185; 
86; 12:10:20.227404; 1543.5193; 
87; 12:10:20.228654; 1543.5195; 
88; 12:10:20.229904; 1543.5194; 
89; 12:10:20.231154; 1543.5193; 
90; 12:10:20.232404; 1543.5184; 
91; 12:10:20.233654; 1543.5177; 
92; 12:10:20.234904; 1543.5165; 
93; 12:10:20.236154; 1543.5155; 
94; 12:10:20.237404; 1543.5155; 
95; 12:10:20.238654; 1543.5160; 
96; 12:10:20.239904; 1543.5176; 
97; 12:10:20.241154; 1543.5174; 
98; 12:10:20.242404; 1543.5174; 
99; 12:10:20.243654; 1543.5176; 
100; 12:10:20.244904; 1543.5179; 
101; 12:10:20.246154; 1543.5186; 
102; 12:10:20.247404; 1543.5196; 
103; 12:10:20.248654; 1543.5196; 
104; 12:10:20.249904; 1543.5195; 
105; 12:10:20.251154; 1543.5189; 
106; 12:10:20.252404; 1543.5189; 
107; 12:10:20.253654; 1543.5170; 
108; 12:10:20.254904; 1543.5154; 
109; 12:10:20.256154; 1543.5147; 
110; 12:10:20.257404; 1543.5153; 
111; 12:10:20.258654; 1543.5162; 
112; 12:10:20.259904; 1543.5173; 
113; 12:10:20.261154; 1543.5192; 
114; 12:10:20.262404; 1543.5209; 
115; 12:10:20.263654; 1543.5212; 
116; 12:10:20.264904; 1543.5211; 
117; 12:10:20.266154; 1543.5210; 
118; 12:10:20.267404; 1543.5204; 
119; 12:10:20.268654; 1543.5191; 
120; 12:10:20.269904; 1543.5182; 
121; 12:10:20.271154; 1543.5169; 
122; 12:10:20.272404; 1543.5161; 
123; 12:10:20.273654; 1543.5155; 
124; 12:10:20.274904; 1543.5153; 
125; 12:10:20.276154; 1543.5157; 
126; 12:10:20.277404; 1543.5175; 
127; 12:10:20.278654; 1543.5178; 
128; 12:10:20.279904; 1543.5172; 
129; 12:10:20.281154; 1543.5184; 
130; 12:10:20.282404; 1543.5186; 
131; 12:10:20.283654; 1543.5183; 
132; 12:10:20.284904; 1543.5191; 
133; 12:10:20.286154; 1543.5184; 
134; 12:10:20.287404; 1543.5186; 
135; 12:10:20.288654; 1543.5182; 
136; 12:10:20.289904; 1543.5187; 
137; 12:10:20.291154; 1543.5184; 
138; 12:10:20.292404; 1543.5175; 
139; 12:10:20.293654; 1543.5174; 
140; 12:10:20.294904; 1543.5167; 
141; 12:10:20.296154; 1543.5166; 
142; 12:10:20.297404; 1543.5170; 
143; 12:10:20.298654; 1543.5178; 
144; 12:10:20.299904; 1543.5185; 
145; 12:10:20.301154; 1543.5186; 
146; 12:10:20.302404; 1543.5187; 
147; 12:10:20.303654; 1543.5183; 
148; 12:10:20.304904; 1543.5182; 
149; 12:10:20.306154; 1543.5178; 
150; 12:10:20.307404; 1543.5173; 
151; 12:10:20.308654; 1543.5175; 
152; 12:10:20.309904; 1543.5169; 
153; 12:10:20.311154; 1543.5157; 
154; 12:10:20.312404; 1543.5157; 
155; 12:10:20.313654; 1543.5169; 
156; 12:10:20.314904; 1543.5179; 
157; 12:10:20.316154; 1543.5182; 
158; 12:10:20.317404; 1543.5179; 
159; 12:10:20.318654; 1543.5182; 
160; 12:10:20.319904; 1543.5188; 
161; 12:10:20.321154; 1543.5178; 
162; 12:10:20.322404; 1543.5179; 
163; 12:10:20.323654; 1543.5176; 
164; 12:10:20.324904; 1543.5180; 
165; 12:10:20.326154; 1543.5173; 
166; 12:10:20.327404; 1543.5176; 
167; 12:10:20.328654; 1543.5183; 
168; 12:10:20.329904; 1543.5188; 
169; 12:10:20.331154; 1543.5189; 
170; 12:10:20.332404; 1543.5185; 
171; 12:10:20.333654; 1543.5175; 
172; 12:10:20.334904; 1543.5167; 
173; 12:10:20.336154; 1543.5162; 
174; 12:10:20.337404; 1543.5159; 
175; 12:10:20.338654; 1543.5165; 
176; 12:10:20.339904; 1543.5171; 
177; 12:10:20.341154; 1543.5184; 
178; 12:10:20.342404; 1543.5198; 
179; 12:10:20.343654; 1543.5201; 
180; 12:10:20.344904; 1543.5205; 
181; 12:10:20.346154; 1543.5204; 
182; 12:10:20.347404; 1543.5186; 
183; 12:10:20.348654; 1543.5184; 
184; 12:10:20.349904; 1543.5183; 
185; 12:10:20.351154; 1543.5167; 
186; 12:10:20.352404; 1543.5159; 
187; 12:10:20.353654; 1543.5154; 
188; 12:10:20.354904; 1543.5170; 
189; 12:10:20.356154; 1543.5177; 
190; 12:10:20.357404; 1543.5178; 
